ID,EMOTION_ID,MOTION_ID
1,9,gBR_sBM_cAll_d04_mBR0_ch01
2,12,gBR_sBM_cAll_d04_mBR0_ch01
3,10,gBR_sBM_cAll_d04_mBR0_ch01
4,9,gBR_sBM_cAll_d04_mBR0_ch02
5,12,gBR_sBM_cAll_d04_mBR0_ch02
6,10,gBR_sBM_cAll_d04_mBR0_ch02
7,9,gBR_sBM_cAll_d04_mBR0_ch03
8,12,gBR_sBM_cAll_d04_mBR0_ch03
9,10,gBR_sBM_cAll_d04_mBR0_ch03
10,9,gBR_sBM_cAll_d04_mBR0_ch04
11,12,gBR_sBM_cAll_d04_mBR0_ch04
12,10,gBR_sBM_cAll_d04_mBR0_ch04
13,9,gBR_sBM_cAll_d04_mBR0_ch05
14,12,gBR_sBM_cAll_d04_mBR0_ch05
15,10,gBR_sBM_cAll_d04_mBR0_ch05
16,9,gBR_sBM_cAll_d04_mBR0_ch06
17,12,gBR_sBM_cAll_d04_mBR0_ch06
18,10,gBR_sBM_cAll_d04_mBR0_ch06
19,9,gBR_sBM_cAll_d04_mBR0_ch07
20,12,gBR_sBM_cAll_d04_mBR0_ch07
21,10,gBR_sBM_cAll_d04_mBR0_ch07
22,9,gBR_sBM_cAll_d04_mBR0_ch08
23,12,gBR_sBM_cAll_d04_mBR0_ch08
24,10,gBR_sBM_cAll_d04_mBR0_ch08
25,9,gBR_sBM_cAll_d04_mBR0_ch09
26,12,gBR_sBM_cAll_d04_mBR0_ch09
27,10,gBR_sBM_cAll_d04_mBR0_ch09
28,9,gBR_sBM_cAll_d04_mBR0_ch10
29,12,gBR_sBM_cAll_d04_mBR0_ch10
30,10,gBR_sBM_cAll_d04_mBR0_ch10
31,9,gBR_sBM_cAll_d04_mBR1_ch01
32,12,gBR_sBM_cAll_d04_mBR1_ch01
33,10,gBR_sBM_cAll_d04_mBR1_ch01
34,9,gBR_sBM_cAll_d04_mBR1_ch02
35,12,gBR_sBM_cAll_d04_mBR1_ch02
36,10,gBR_sBM_cAll_d04_mBR1_ch02
37,9,gBR_sBM_cAll_d04_mBR1_ch03
38,12,gBR_sBM_cAll_d04_mBR1_ch03
39,10,gBR_sBM_cAll_d04_mBR1_ch03
40,9,gBR_sBM_cAll_d04_mBR1_ch04
41,12,gBR_sBM_cAll_d04_mBR1_ch04
42,10,gBR_sBM_cAll_d04_mBR1_ch04
43,9,gBR_sBM_cAll_d04_mBR1_ch05
44,12,gBR_sBM_cAll_d04_mBR1_ch05
45,10,gBR_sBM_cAll_d04_mBR1_ch05
46,9,gBR_sBM_cAll_d04_mBR1_ch06
47,12,gBR_sBM_cAll_d04_mBR1_ch06
48,10,gBR_sBM_cAll_d04_mBR1_ch06
49,9,gBR_sBM_cAll_d04_mBR1_ch07
50,12,gBR_sBM_cAll_d04_mBR1_ch07
51,10,gBR_sBM_cAll_d04_mBR1_ch07
52,9,gBR_sBM_cAll_d04_mBR1_ch08
53,12,gBR_sBM_cAll_d04_mBR1_ch08
54,10,gBR_sBM_cAll_d04_mBR1_ch08
55,9,gBR_sBM_cAll_d04_mBR1_ch09
56,12,gBR_sBM_cAll_d04_mBR1_ch09
57,10,gBR_sBM_cAll_d04_mBR1_ch09
58,9,gBR_sBM_cAll_d04_mBR1_ch10
59,12,gBR_sBM_cAll_d04_mBR1_ch10
60,10,gBR_sBM_cAll_d04_mBR1_ch10
61,9,gBR_sBM_cAll_d04_mBR2_ch01
62,12,gBR_sBM_cAll_d04_mBR2_ch01
63,10,gBR_sBM_cAll_d04_mBR2_ch01
64,9,gBR_sBM_cAll_d04_mBR2_ch02
65,12,gBR_sBM_cAll_d04_mBR2_ch02
66,10,gBR_sBM_cAll_d04_mBR2_ch02
67,9,gBR_sBM_cAll_d04_mBR2_ch03
68,12,gBR_sBM_cAll_d04_mBR2_ch03
69,10,gBR_sBM_cAll_d04_mBR2_ch03
70,9,gBR_sBM_cAll_d04_mBR2_ch04
71,12,gBR_sBM_cAll_d04_mBR2_ch04
72,10,gBR_sBM_cAll_d04_mBR2_ch04
73,9,gBR_sBM_cAll_d04_mBR2_ch05
74,12,gBR_sBM_cAll_d04_mBR2_ch05
75,10,gBR_sBM_cAll_d04_mBR2_ch05
76,9,gBR_sBM_cAll_d04_mBR2_ch06
77,12,gBR_sBM_cAll_d04_mBR2_ch06
78,10,gBR_sBM_cAll_d04_mBR2_ch06
79,9,gBR_sBM_cAll_d04_mBR2_ch07
80,12,gBR_sBM_cAll_d04_mBR2_ch07
81,10,gBR_sBM_cAll_d04_mBR2_ch07
82,9,gBR_sBM_cAll_d04_mBR2_ch08
83,12,gBR_sBM_cAll_d04_mBR2_ch08
84,10,gBR_sBM_cAll_d04_mBR2_ch08
85,9,gBR_sBM_cAll_d04_mBR2_ch09
86,12,gBR_sBM_cAll_d04_mBR2_ch09
87,10,gBR_sBM_cAll_d04_mBR2_ch09
88,9,gBR_sBM_cAll_d04_mBR2_ch10
89,12,gBR_sBM_cAll_d04_mBR2_ch10
90,10,gBR_sBM_cAll_d04_mBR2_ch10
91,9,gBR_sBM_cAll_d04_mBR3_ch01
92,12,gBR_sBM_cAll_d04_mBR3_ch01
93,10,gBR_sBM_cAll_d04_mBR3_ch01
94,9,gBR_sBM_cAll_d04_mBR3_ch02
95,12,gBR_sBM_cAll_d04_mBR3_ch02
96,10,gBR_sBM_cAll_d04_mBR3_ch02
97,9,gBR_sBM_cAll_d04_mBR3_ch03
